"Date","Price","Open","High","Low","Vol.","Change %"
"2025-10-03","53.61","53.40","53.72","53.40","256.72K","0.49%"
"2025-10-02","53.35","53.34","53.39","53.12","236.75K","0.24%"
"2025-10-01","53.22","52.85","53.27","52.85","213.36K","0.57%"
"2025-09-30","52.92","52.79","52.93","52.59","223.45K","0.30%"
"2025-09-29","52.76","52.67","52.84","52.64","311.33K","0.38%"
"2025-09-26","52.56","52.50","52.59","52.40","189.57K","0.34%"
"2025-09-25","52.38","52.30","52.40","52.08","230.98K","-0.23%"
"2025-09-24","52.50","52.70","52.74","52.45","239.56K","-0.02%"
"2025-09-23","52.51","52.75","52.83","52.48","257.26K","-0.36%"
"2025-09-22","52.70","52.32","52.71","52.30","285.29K","0.69%"
"2025-09-19","52.34","52.27","52.50","52.09","211.51K","0.33%"
"2025-09-18","52.17","52.10","52.28","51.97","257.77K","0.56%"
"2025-09-17","51.88","51.91","52.03","51.63","350.97K","0.09%"
"2025-09-16","51.83","51.97","51.97","51.75","211.98K","-0.26%"
"2025-09-15","51.97","51.97","52.08","51.88","343.34K","0.17%"
"2025-09-12","51.88","52.06","52.06","51.87","244.37K","-0.21%"
"2025-09-11","51.99","51.74","52.01","51.65","179.71K","0.78%"
"2025-09-10","51.59","51.66","51.67","51.50","201.81K","0.31%"
"2025-09-09","51.43","51.28","51.45","51.20","210.21K","0.35%"
"2025-09-08","51.25","51.25","51.31","51.12","267.22K","0.16%"
"2025-09-05","51.17","51.20","51.32","50.89","218.14K","0.35%"
"2025-09-04","50.99","50.74","51.00","50.67","183.89K","0.87%"
"2025-09-03","50.55","50.58","50.59","50.39","206.81K","0.02%"
"2025-09-02","50.54","50.21","50.54","50.00","380.31K","0.18%"
"2025-08-29","50.45","50.60","50.61","50.28","199.35K","-0.36%"
"2025-08-28","50.63","50.68","50.68","50.49","203.81K","0.10%"
"2025-08-27","50.58","50.63","50.67","50.50","186.96K","-0.14%"
"2025-08-26","50.65","50.49","50.65","50.40","157.88K","0.26%"
"2025-08-25","50.52","50.77","50.77","50.52","231.67K","-0.55%"
"2025-08-22","50.80","50.49","50.85","50.42","214.12K","1.15%"
"2025-08-21","50.22","50.10","50.24","50.01","230.52K","0.10%"
"2025-08-20","50.17","50.28","50.28","49.88","234.48K","-0.34%"
"2025-08-19","50.34","50.35","50.41","50.12","218.55K","0.22%"
"2025-08-18","50.23","50.21","50.24","50.14","189.93K","0.02%"
"2025-08-15","50.22","50.35","50.35","50.14","213.90K","0.00%"
"2025-08-14","50.22","50.15","50.23","50.04","161.39K","0.02%"
"2025-08-13","50.21","50.20","50.24","50.10","211.60K","0.42%"
"2025-08-12","50.00","49.65","50.00","49.65","200.36K","0.93%"
"2025-08-11","49.54","49.57","49.70","49.50","275.76K","-0.02%"
"2025-08-08","49.55","49.50","49.62","49.43","190.82K","0.41%"
"2025-08-07","49.35","49.51","49.64","49.17","257.36K","0.02%"
"2025-08-06","49.34","49.20","49.36","49.14","168.75K","0.65%"
"2025-08-05","49.02","49.00","49.20","48.86","250.73K","1.30%"
"2025-08-01","48.39","48.52","48.52","48.06","476.71K","-1.35%"
"2025-07-31","49.05","49.40","49.48","48.99","242.94K","-0.39%"
"2025-07-30","49.24","49.44","49.44","49.05","277.65K","-0.22%"
"2025-07-29","49.35","49.40","49.43","49.22","205.44K","0.30%"
"2025-07-28","49.20","49.44","49.44","49.09","241.49K","-0.26%"
"2025-07-25","49.33","49.16","49.37","49.12","214.03K","0.59%"
"2025-07-24","49.04","49.08","49.15","49.01","168.53K","0.07%"
"2025-07-23","49.01","48.88","49.04","48.81","264.79K","0.81%"
"2025-07-22","48.61","48.75","48.75","48.52","143.96K","-0.21%"
"2025-07-21","48.71","48.77","48.94","48.70","198.09K","-0.04%"
"2025-07-18","48.73","48.90","48.91","48.68","281.43K","-0.25%"
"2025-07-17","48.85","48.57","48.89","48.50","177.91K","0.97%"
"2025-07-16","48.38","48.39","48.42","47.98","373.07K","0.21%"
"2025-07-15","48.28","48.63","48.63","48.28","203.52K","-0.45%"
"2025-07-14","48.50","48.28","48.52","48.26","154.40K","0.39%"
"2025-07-11","48.31","48.30","48.35","48.21","136.74K","-0.33%"
"2025-07-10","48.47","48.47","48.56","48.33","171.99K","0.17%"
"2025-07-09","48.39","48.40","48.40","48.23","161.20K","0.50%"
"2025-07-08","48.15","48.17","48.20","48.07","169.82K","0.10%"
"2025-07-07","48.10","48.20","48.26","47.95","293.06K","-0.27%"
"2025-07-04","48.23","48.13","48.24","48.01","197.64K","0.04%"
"2025-07-03","48.21","48.01","48.22","48.01","139.36K","0.58%"
"2025-07-02","47.93","47.99","47.99","47.80","215.81K","0.04%"
"2025-06-30","47.91","47.88","47.91","47.70","199.82K","0.17%"
"2025-06-27","47.83","47.66","47.90","47.59","198.37K","0.61%"
"2025-06-26","47.54","47.41","47.54","47.28","137.63K","0.40%"
"2025-06-25","47.35","47.59","47.59","47.32","122.77K","-0.34%"
"2025-06-24","47.51","47.19","47.56","47.19","117.40K","1.00%"
"2025-06-23","47.04","46.73","47.04","46.65","154.30K","0.73%"
"2025-06-20","46.70","46.97","46.97","46.60","211.50K","-0.22%"
"2025-06-19","46.81","46.60","46.85","46.53","257.94K","0.05%"
"2025-06-18","46.78","46.71","46.95","46.65","147.99K","0.39%"
"2025-06-17","46.60","46.65","46.72","46.53","176.97K","-0.41%"
"2025-06-16","46.79","46.69","46.94","46.69","155.98K","0.65%"
"2025-06-13","46.49","46.70","46.77","46.42","295.49K","-1.11%"
"2025-06-12","47.01","46.89","47.01","46.80","206.15K","0.09%"
"2025-06-11","46.97","47.12","47.17","46.90","146.96K","-0.02%"
"2025-06-10","46.98","47.00","47.03","46.80","161.71K","0.32%"
"2025-06-09","46.83","46.93","46.96","46.78","139.18K","-0.11%"
"2025-06-06","46.88","46.81","46.90","46.73","125.78K","0.97%"
"2025-06-05","46.43","46.64","46.73","46.36","208.99K","-0.30%"
"2025-06-04","46.57","46.69","46.75","46.51","157.05K","-0.17%"
"2025-06-03","46.65","46.48","46.70","46.40","160.07K","0.32%"
"2025-06-02","46.50","46.25","46.51","46.00","221.77K","0.61%"
"2025-05-30","46.22","46.37","46.37","45.94","175.22K","-0.58%"
"2025-05-29","46.49","46.69","46.70","46.30","202.17K","0.06%"
"2025-05-28","46.46","46.61","46.68","46.40","137.97K","-0.36%"
"2025-05-27","46.63","46.37","46.63","46.20","168.37K","0.56%"
"2025-05-26","46.37","46.02","46.37","45.95","145.05K","1.53%"
"2025-05-23","45.67","45.57","45.78","45.51","216.33K","-0.93%"
"2025-05-22","46.10","46.14","46.28","45.98","166.81K","-0.02%"
"2025-05-21","46.11","46.47","46.58","46.01","208.73K","-1.39%"
"2025-05-20","46.76","46.85","46.89","46.65","250.20K","-0.15%"
"2025-05-16","46.83","46.58","46.84","46.50","153.05K","0.58%"
"2025-05-15","46.56","46.32","46.62","46.30","158.63K","0.56%"
"2025-05-14","46.30","46.30","46.33","46.16","139.31K","0.28%"
"2025-05-13","46.17","46.18","46.35","46.09","194.64K","0.17%"
"2025-05-12","46.09","46.10","46.13","45.80","223.70K","2.26%"
