"Date","Price","Open","High","Low","Vol.","Change %"
"2025-10-17","46.09","45.98","46.12","45.93","162.63K","-0.15%"
"2025-10-16","46.16","46.18","46.32","46.04","160.12K","0.52%"
"2025-10-15","45.92","45.84","46.02","45.71","208.44K","0.48%"
"2025-10-14","45.70","45.27","45.80","45.21","216.47K","1.56%"
"2025-10-10","45.00","45.72","45.72","44.95","439.33K","-2.05%"
"2025-10-09","45.94","46.10","46.10","45.86","142.97K","-0.29%"
"2025-10-08","46.08","46.02","46.10","45.97","145.10K","0.29%"
"2025-10-07","45.94","46.22","46.22","45.93","306.01K","-0.84%"
"2025-10-06","46.33","46.35","46.44","46.31","249.49K","0.16%"
"2025-10-03","46.26","46.13","46.31","46.13","208.65K","0.80%"
"2025-10-02","45.89","45.90","45.96","45.75","144.65K","0.31%"
"2025-10-01","45.75","45.65","45.80","45.62","147.14K","0.97%"
"2025-09-30","45.31","45.14","45.36","45.06","273.94K","0.40%"
"2025-09-29","45.13","45.16","45.19","45.01","175.05K","0.22%"
"2025-09-26","45.03","44.86","45.04","44.86","106.44K","0.63%"
"2025-09-25","44.75","44.65","44.75","44.56","145.09K","-0.40%"
"2025-09-24","44.93","44.98","45.05","44.87","133.95K","-0.20%"
"2025-09-23","45.02","45.11","45.19","44.96","172.21K","0.02%"
"2025-09-22","45.01","44.80","45.03","44.73","146.62K","0.60%"
"2025-09-19","44.74","44.89","44.89","44.62","117.32K","-0.53%"
"2025-09-18","44.98","44.79","45.06","44.78","173.28K","0.56%"
"2025-09-17","44.73","44.83","44.97","44.62","217.43K","-0.31%"
"2025-09-16","44.87","44.91","44.91","44.75","181.20K","-0.33%"
"2025-09-15","45.02","45.10","45.19","44.98","138.67K","0.13%"
"2025-09-12","44.96","45.01","45.01","44.90","120.56K","-0.29%"
"2025-09-11","45.09","44.91","45.12","44.87","148.60K","0.78%"
"2025-09-10","44.74","44.84","44.84","44.69","133.39K","0.02%"
"2025-09-09","44.73","44.60","44.73","44.50","100.27K","0.07%"
"2025-09-08","44.70","44.54","44.74","44.50","144.99K","0.68%"
"2025-09-05","44.40","44.35","44.50","44.20","329.58K","0.75%"
"2025-09-04","44.07","43.80","44.08","43.80","222.56K","0.85%"
"2025-09-03","43.70","43.55","43.70","43.55","137.92K","0.25%"
"2025-09-02","43.59","43.50","43.66","43.32","215.49K","-0.52%"
"2025-08-29","43.82","44.00","44.00","43.81","225.05K","-0.84%"
